1.31.14.70:54321,#genre#
俄语频道,http://124.93.18.238:81/hls/64/index.m3u8
先锋乒羽,http://42.48.31.149:808/hls/77/index.m3u8
公共频道,http://39.164.138.145:8899/hls/26/index.m3u8
兵器科技,http://175.20.39.188:888/hls/90/index.m3u8
兵团卫视,http://61.240.150.5:81/hls/65/index.m3u8

其它频道,#genre#
CGNT俄语,http://175.20.39.188:888/hls/105/index.m3u8
CGNT法语,http://175.20.39.188:888/hls/103/index.m3u8
CGNT英文纪实,http://175.20.39.188:888/hls/101/index.m3u8
CGNT英语,http://175.20.39.188:888/hls/100/index.m3u8
CGNT西班牙,http://175.20.39.188:888/hls/102/index.m3u8
CGNT阿拉伯语,http://175.20.39.188:888/hls/104/index.m3u8
CHC家庭电影,http://175.20.39.188:888/hls/108/index.m3u8
乡村频道,http://39.164.138.145:9003/hls/25/index.m3u8
公共频道,http://39.164.138.145:9003/hls/26/index.m3u8
内蒙古农牧频道,http://1.24.39.180:808/hls/22/index.m3u8
内蒙古卫视,http://61.240.150.5:81/hls/39/index.m3u8
内蒙古少儿频道,http://1.24.39.180:808/hls/23/index.m3u8
内蒙古文体娱乐,http://1.24.39.180:808/hls/21/index.m3u8
内蒙古新闻,http://1.24.39.180:808/hls/19/index.m3u8
内蒙古汉语卫视,http://1.24.39.180:808/hls/17/index.m3u8
内蒙古经济生活,http://1.24.39.180:808/hls/20/index.m3u8
内蒙古蒙古语卫视,http://1.31.14.70:54321/hls/54/index.m3u8
内蒙古蒙古语文化,http://1.31.14.70:54321/hls/51/index.m3u8
内蒙古蒙语卫视,http://1.24.39.180:808/hls/16/index.m3u8
内蒙古蒙语文化,http://1.24.39.180:808/hls/18/index.m3u8
军事,http://122.114.131.154:4060/hls/39/index.m3u8
军事评论,http://111.43.126.240:7777/hls/91/index.m3u8
军旅剧场,http://111.43.126.240:7777/hls/82/index.m3u8
农业致富,http://111.43.126.240:7777/hls/92/index.m3u8
农林卫视,http://124.93.18.238:81/hls/59/index.m3u8
农牧频道,http://1.31.14.70:54321/hls/49/index.m3u8
凉城频道,http://1.24.39.180:808/hls/27/index.m3u8
凤凰中文,http://27.41.245.32:801/hls/205/index.m3u8
前郭TV1,http://175.18.215.37:81/hls/51/index.m3u8
动作影院,http://122.114.131.154:4060/hls/32/index.m3u8
动作电影,http://111.43.126.240:7777/hls/75/index.m3u8
动漫秀场,http://39.105.190.112:8009/hls/51/index.m3u8
北京卡酷,http://113.88.209.178:9898/hls/63/index.m3u8
北京卡酷少儿,http://122.114.131.154:4060/hls/33/index.m3u8
北京卫视,http://61.240.150.5:81/hls/21/index.m3u8
北京文艺,http://114.252.121.120:8899/hls/17/index.m3u8
北京纪实,http://175.20.39.188:888/hls/78/index.m3u8
南方卫视,http://42.48.31.149:808/hls/105/index.m3u8
卡酷动画,http://39.164.138.145:8899/hls/63/index.m3u8
卡酷卡通,http://39.105.190.112:8009/hls/47/index.m3u8
卡酷少儿,http://219.139.124.61:8089/hls/37/index.m3u8
吉林1,http://175.20.39.188:888/hls/30/index.m3u8
吉林2,http://175.20.39.188:888/hls/31/index.m3u8
吉林3,http://175.20.39.188:888/hls/32/index.m3u8
吉林教育,http://175.20.39.188:888/hls/28/index.m3u8
吉视,http://175.20.39.188:888/hls/24/index.m3u8
吉视乡村,http://175.20.39.188:888/hls/25/index.m3u8
吉视生活,http://175.20.39.188:888/hls/23/index.m3u8
吉视都市,http://175.20.39.188:888/hls/22/index.m3u8
四川公共频道,http://183.221.211.20:808/hls/55/index.m3u8
四川新闻资讯,http://183.221.211.20:808/hls/52/index.m3u8
广场舞,http://175.20.39.188:888/hls/77/index.m3u8
廊坊公共,http://61.240.150.5:81/hls/68/index.m3u8
文宝频道,http://39.164.138.145:9003/hls/21/index.m3u8
新闻频道,http://39.164.138.145:9003/hls/24/index.m3u8
民生休闲,http://183.129.211.142:808/hls/22/index.m3u8
汕头经济生活,http://27.41.245.102:808/hls/2/index.m3u8
沧州,http://122.114.131.154:4021/hls/26/index.m3u8
沧州公共,http://122.114.131.154:4021/hls/27/index.m3u8
沧州娱乐,http://122.114.131.154:4021/hls/28/index.m3u8
河北,http://122.114.131.154:4021/hls/21/index.m3u8
河北公共,http://122.114.131.154:4021/hls/23/index.m3u8
河北农民,http://122.114.131.154:4021/hls/24/index.m3u8
河北剧,http://27.129.145.110:4433/hls/21/index.m3u8
河北少儿,http://122.114.131.154:4021/hls/22/index.m3u8
河北杂技,http://122.114.131.154:4021/hls/25/index.m3u8
河北杂技频道,http://27.129.145.110:4433/hls/22/index.m3u8
河北经济,http://61.240.150.5:81/hls/58/index.m3u8
河北经济生活,http://122.114.131.154:4021/hls/19/index.m3u8
河北都市,http://122.114.131.154:4021/hls/20/index.m3u8
法制频道,http://39.164.138.145:9003/hls/22/index.m3u8
电视剧台,http://119.39.198.199:808/hls/24/index.m3u8
电视剧频,http://39.164.138.145:9003/hls/23/index.m3u8
百姓调解,http://39.164.138.145:9003/hls/28/index.m3u8
移动戏曲,http://39.164.138.145:9003/hls/27/index.m3u8
篮球,http://175.20.39.188:888/hls/75/index.m3u8
经济生活,http://183.129.211.142:808/hls/20/index.m3u8
综艺文化,http://175.20.39.188:888/hls/26/index.m3u8
舒兰,http://175.20.39.188:888/hls/33/index.m3u8
足球,http://175.20.39.188:888/hls/76/index.m3u8
都市频道,http://39.164.138.145:9003/hls/20/index.m3u8
钱江,http://183.129.211.142:808/hls/19/index.m3u8
风云游戏,http://175.20.39.188:888/hls/115/index.m3u8

卫视频道,#genre#
三沙卫视,http://175.20.39.188:888/hls/66/index.m3u8
东南卫视,http://119.39.198.199:808/hls/42/index.m3u8
东方卫视,http://119.39.198.199:808/hls/34/index.m3u8
云南卫视,http://122.114.131.154:4021/hls/38/index.m3u8
兵团卫视,http://61.240.150.5:81/hls/65/index.m3u8
内蒙古卫视,http://122.114.131.154:4021/hls/53/index.m3u8
北京卫视,http://119.39.198.199:808/hls/28/index.m3u8
原阳电视台,http://125.40.199.223:8092/hls/67/index.m3u8
厦门卫视,http://42.48.31.149:808/hls/55/index.m3u8
发现之旅,http://175.20.39.188:888/hls/79/index.m3u8
古装剧场,http://39.105.190.112:8009/hls/56/index.m3u8
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8
合肥生活,http://112.27.235.94:8000/hls/19/index.m3u8
合肥科创,http://112.27.235.94:8000/hls/20/index.m3u8
吉林,http://175.18.215.37:81/hls/54/index.m3u8
吉林1,http://175.20.39.188:888/hls/30/index.m3u8
吉林2,http://175.20.39.188:888/hls/31/index.m3u8
吉林3,http://175.20.39.188:888/hls/32/index.m3u8
吉林乡村,http://175.18.215.37:81/hls/56/index.m3u8
吉林卫视,http://61.240.150.5:81/hls/36/index.m3u8
吉林延边卫视,http://183.237.71.182:40000/hls/60/index.m3u8
吉林教育,http://175.20.39.188:888/hls/28/index.m3u8
吉林生活,http://175.18.215.37:81/hls/55/index.m3u8
吉林综艺,http://175.18.215.37:81/hls/53/index.m3u8
吉林都市,http://175.18.215.37:81/hls/52/index.m3u8
吉视,http://175.20.39.188:888/hls/24/index.m3u8
吉视乡村,http://175.20.39.188:888/hls/25/index.m3u8
吉视生活,http://175.20.39.188:888/hls/23/index.m3u8
吉视都市,http://175.20.39.188:888/hls/22/index.m3u8
咪咕精彩体育,http://111.43.126.240:7777/hls/104/index.m3u8
咪咕精彩足球,http://111.43.126.240:7777/hls/103/index.m3u8
哈哈炫动,http://39.164.138.145:8899/hls/67/index.m3u8
哈尔滨,http://111.43.126.240:7777/hls/5/index.m3u8
哈尔滨新闻,http://111.43.126.240:7777/hls/1/index.m3u8
哈尔滨生活,http://111.43.126.240:7777/hls/3/index.m3u8
哒啵赛事,http://111.43.126.240:7777/hls/101/index.m3u8
喜剧影院,http://122.114.131.154:4060/hls/37/index.m3u8
嗨看暑假,http://111.43.126.240:7777/hls/79/index.m3u8
嘉丽购,http://42.48.31.149:808/hls/80/index.m3u8
嘉佳卡通,http://58.255.201.110:808/hls/27/index.m3u8
嘉佳卡通卫视,http://14.155.194.208:8088/hls/27/index.m3u8
四川,http://171.11.199.103:5000/hls/37/index.m3u8
四川公共频道,http://183.221.211.20:808/hls/55/index.m3u8
四川卫视,http://61.240.150.5:81/hls/31/index.m3u8
