175.18.215.204:81,#genre#
天津卫视,http://125.46.179.164:60000/hls/22/index.m3u8
安徽卫视,http://125.46.179.164:60000/hls/24/index.m3u8
山东卫视,http://125.46.179.164:60000/hls/23/index.m3u8
江苏卫视,http://125.46.179.164:60000/hls/18/index.m3u8
江西卫视,http://125.46.179.164:60000/hls/26/index.m3u8
河南卫视,http://125.46.179.164:60000/hls/16/index.m3u8
浙江卫视,http://125.46.179.164:60000/hls/19/index.m3u8
深圳卫视,http://125.46.179.164:60000/hls/25/index.m3u8
湖北卫视,http://125.46.179.164:60000/hls/27/index.m3u8
湖南卫视,http://125.46.179.164:60000/hls/17/index.m3u8
贵州卫视,http://125.46.179.164:60000/hls/31/index.m3u8
辽宁卫视,http://125.46.179.164:60000/hls/32/index.m3u8
黑龙江卫视,http://125.46.179.164:60000/hls/29/index.m3u8


14.106.99.33:888,#genre#
CCTV-1 综合,http://14.106.99.33:888/hls/1/index.m3u8
CCTV-2 财经,http://14.106.99.33:888/hls/2/index.m3u8
CCTV-4 中文国际,http://14.106.99.33:888/hls/3/index.m3u8
CCTV-7 国防军事,http://14.106.99.33:888/hls/4/index.m3u8
CCTV-10 科教,http://14.106.99.33:888/hls/6/index.m3u8
CCTV-11 戏曲,http://14.106.99.33:888/hls/7/index.m3u8
CCTV-12 社会与法,http://14.106.99.33:888/hls/8/index.m3u8
CCTV-NEWS,http://14.106.99.33:888/hls/5/index.m3u8
CCTV-少儿,http://14.106.99.33:888/hls/10/index.m3u8
CCTV-新闻,http://14.106.99.33:888/hls/9/index.m3u8
CCTV-音乐,http://14.106.99.33:888/hls/11/index.m3u8
云南卫视,http://14.106.99.33:888/hls/35/index.m3u8
兵团卫视,http://14.106.99.33:888/hls/41/index.m3u8
内蒙古卫视,http://14.106.99.33:888/hls/39/index.m3u8
吉林卫视,http://14.106.99.33:888/hls/28/index.m3u8
天津卫视,http://14.106.99.33:888/hls/27/index.m3u8
宁夏卫视,http://14.106.99.33:888/hls/43/index.m3u8
山西卫视,http://14.106.99.33:888/hls/30/index.m3u8
新疆卫视,http://14.106.99.33:888/hls/40/index.m3u8
河北卫视,http://14.106.99.33:888/hls/34/index.m3u8
深圳卫视,http://14.106.99.33:888/hls/36/index.m3u8
甘肃卫视,http://14.106.99.33:888/hls/42/index.m3u8
西藏卫视,http://14.106.99.33:888/hls/38/index.m3u8
陕西卫视,http://14.106.99.33:888/hls/33/index.m3u8
青海卫视,http://14.106.99.33:888/hls/37/index.m3u8
黑龙江卫视,http://14.106.99.33:888/hls/29/index.m3u8
炫动卡通,http://14.106.99.33:888/hls/48/index.m3u8
中国教育-1,http://14.106.99.33:888/hls/12/index.m3u8
CQTV影视,http://14.106.99.33:888/hls/14/index.m3u8
CQTV时尚,http://14.106.99.33:888/hls/16/index.m3u8
CQTV都市,http://14.106.99.33:888/hls/15/index.m3u8
中国气象,http://14.106.99.33:888/hls/44/index.m3u8
纪实频道,http://14.106.99.33:888/hls/46/index.m3u8


14.155.134.86:8088,#genre#
CCTV-1 综合,http://14.155.134.86:8088/hls/1/index.m3u8
CCTV-2 财经,http://14.155.134.86:8088/hls/3/index.m3u8
CCTV-3 综艺,http://14.155.134.86:8088/hls/4/index.m3u8
CCTV-4 中文国际,http://14.155.134.86:8088/hls/5/index.m3u8
CCTV-5 体育,http://14.155.134.86:8088/hls/6/index.m3u8
CCTV-5+ 体育赛事,http://14.155.134.86:8088/hls/7/index.m3u8
CCTV-6 电影,http://14.155.134.86:8088/hls/8/index.m3u8
CCTV-7 国防军事,http://14.155.134.86:8088/hls/9/index.m3u8
CCTV-8 电视剧,http://14.155.134.86:8088/hls/10/index.m3u8
CCTV-9 纪录,http://14.155.134.86:8088/hls/11/index.m3u8
CCTV-10 科教,http://14.155.134.86:8088/hls/12/index.m3u8
CCTV-11 戏曲,http://14.155.134.86:8088/hls/13/index.m3u8
